line_key,line_name,location_direction,active_tsr_count
JTM,Joondalup Line,Unknown,4
MTM,Midland Line,Unknown,4
FTM,Fremantle Line,Unknown,3
UNCLASSIFIED,Unclassified,Unknown,2
CTM,City / Central Area,Unknown,1
TTM,Thornlie Line,Unknown,1
