year,month,year_month,line_key,restriction_occurrences,distinct_tsr_count,average_weeks_seen,median_weeks_seen,max_weeks_seen,total_tsr_weeks
2018,9,2018-09,EAST,2,2,1.0,1.0,1,2
2018,9,2018-09,FREMANTLE,5,1,60.0,60.0,60,300
2018,10,2018-10,FREMANTLE,4,1,60.0,60.0,60,240
2018,11,2018-11,FREMANTLE,4,1,60.0,60.0,60,240
2018,12,2018-12,FREMANTLE,5,1,60.0,60.0,60,300
2019,1,2019-01,FREMANTLE,4,1,60.0,60.0,60,240
2019,1,2019-01,LEEDERVILLE,2,1,2.0,2.0,2,4
2019,3,2019-03,FREMANTLE,4,3,13.0,13.0,25,52
2019,3,2019-03,LEEDERVILLE,2,1,8.0,8.0,8,16
2019,4,2019-04,FREMANTLE,2,1,25.0,25.0,25,50
2019,4,2019-04,LEEDERVILLE,2,1,8.0,8.0,8,16
2019,5,2019-05,FREMANTLE,4,1,25.0,25.0,25,100
2019,5,2019-05,LEEDERVILLE,4,1,8.0,8.0,8,32
2019,6,2019-06,FREMANTLE,6,2,15.0,15.0,25,90
2019,6,2019-06,JOONDALUP,3,1,6.0,6.0,6,18
2019,6,2019-06,LEEDERVILLE,3,1,9.0,9.0,9,27
2019,6,2019-06,NOWERGUP,1,1,7.0,7.0,7,7
2019,7,2019-07,FREMANTLE,6,2,18.333333333333332,25.0,25,110
2019,7,2019-07,GOSNELLS,1,1,4.0,4.0,4,4
2019,7,2019-07,JOONDALUP,3,1,6.0,6.0,6,18
2019,7,2019-07,KELMSCOTT,1,1,11.0,11.0,11,11
2019,7,2019-07,KENWICK,1,1,3.0,3.0,3,3
2019,7,2019-07,LEEDERVILLE,4,1,9.0,9.0,9,36
2019,7,2019-07,NOWERGUP,4,1,7.0,7.0,7,28
