year,month,year_month,line_key,restriction_occurrences,distinct_tsr_count,average_weeks_seen,median_weeks_seen,max_weeks_seen,total_tsr_weeks
2019,8,2019-08,FREMANTLE,4,1,25.0,25.0,25,100
2019,8,2019-08,GOSNELLS,4,2,4.0,4.0,4,16
2019,8,2019-08,KELMSCOTT,4,1,11.0,11.0,11,44
2019,8,2019-08,KENWICK,4,2,3.5,3.5,4,14
2019,8,2019-08,LEEDERVILLE,4,2,8.0,8.0,9,32
2019,8,2019-08,NOWERGUP,4,2,7.0,7.0,7,28
2019,9,2019-09,BASSENDEAN,2,1,3.0,3.0,3,6
2019,9,2019-09,FREMANTLE,4,1,25.0,25.0,25,100
2019,9,2019-09,GOSNELLS,4,2,3.5,3.5,4,14
2019,9,2019-09,KELMSCOTT,4,1,11.0,11.0,11,44
2019,9,2019-09,KENWICK,2,1,4.0,4.0,4,8
2019,9,2019-09,LEEDERVILLE,4,1,7.0,7.0,7,28
2019,9,2019-09,MADDINGTON,2,1,3.0,3.0,3,6
2019,9,2019-09,NOWERGUP,4,1,7.0,7.0,7,28
2019,10,2019-10,BASSENDEAN,1,1,3.0,3.0,3,3
2019,10,2019-10,FREMANTLE,2,1,25.0,25.0,25,50
2019,10,2019-10,GOSNELLS,2,2,3.5,3.5,4,7
2019,10,2019-10,KELMSCOTT,2,1,11.0,11.0,11,22
2019,10,2019-10,LEEDERVILLE,1,1,7.0,7.0,7,7
2019,10,2019-10,MADDINGTON,1,1,3.0,3.0,3,3
2019,10,2019-10,NOWERGUP,1,1,7.0,7.0,7,7
2019,10,2019-10,THORNLIE,1,1,1.0,1.0,1,1
2019,11,2019-11,FREMANTLE,6,2,40.666666666666664,60.0,60,244
2019,11,2019-11,GOSNELLS,2,1,2.0,2.0,2,4
