reason_group,reason_raw,restriction_occurrences,distinct_tsr_count
Other / review required,Indefinite Main 21 design issues,10,1
Other / review required,"design non- Indefinite, Guildford Down Main 21",10,1
Signals / train control,5-Aug-21 Signalling Indefinite Mundijong Directional,10,1
Structures / bridge,8-Jul-22 TBC Park integrity,10,1
Structures / bridge,Jul-22 TBC Park integrity,10,1
Track condition,Apr-22 Track Defect,10,1
Track geometry,Sep-22 Track Geometry,10,1
Track geometry,Track Geometry TBC Main 20,10,1
Turnout / points,19-Oct-23 Points Fault End of November,10,2
Ballast / formation,19-Dec-25 Ballast/Formation,9,2
Ballast / formation,29-Oct-21 Ballast / Formation of Work,9,1
Other / review required,Loch St Ped Xing Indefinite Main issues,9,1
Other / review required,September 2011,9,1
Other / review required,September 2011 Indefinite Robbs Jetty Review,9,1
Rail internal defect,21-Nov-25 Ultrasonic Defect,9,3
Structures / bridge,13-Jun-24 Structural Integrity,9,1
Structures / bridge,21-Mar-24 Structural Integrity,9,2
Structures / bridge,21-Mar-24 Structural Integrity TBD by Civil,9,3
Track condition,18-Jun-25 Track Defect,9,1
Turnout / points,01 Aug2020 Turnout defects Indefinite Down Main & turnout design,9,1
Turnout / points,11-Jan-24 Points Fault,9,4
Turnout / points,28-Jul-25 Turnout,9,2
Rail internal defect,7-Mar-25 Rail Internal Defect,8,1
Rail internal defect,Rail ultrasonic defect,8,2
Level crossing / pedestrian crossing,Pedestrian,7,1
Level crossing / pedestrian crossing,Sept 2011 Pedestrian Crossing Indefinite Robbs Jetty Review,7,1
Other / review required,03-Jun-21 Permanent TSR,7,1
Other / review required,28-Jun-24 Miscellaneous,7,2
Other / review required,Jetty Review,7,1
Rail internal defect,Internal Rail Defects,7,1
Rail internal defect,Rail Internal,7,5
Rail internal defect,Rail Internal &,7,1
Rail surface defect,20-Nov-24 Rail Surface Defect,7,1
Structures / bridge,Stirling Down Main Vincent St Bridge 2019,7,1
Track condition,Contaminated TBC Mundijong Armadale Bi-Directional Railhead,7,1
Track condition,Rail defects 26.140km Up Main 2019,7,1
Track condition,Rail defects Maddington 19.000km Up Main 2019,7,1
Track condition,Sleeper Co,7,1
Track geometry,4-Aug-23 Track Geometry,7,1
Turnout / points,14-Feb-24 Points Fault,7,1
Turnout / points,Points,7,2
Turnout / points,Points points in yard 2019,7,1
Ballast / formation,Facilities - City West TBC Up Main Platform deformation,6,1
Level crossing / pedestrian crossing,Pedestrian Crossing,6,2
Other / review required,23-Jan-23 N/A,6,1
Other / review required,Due to Loch St Ped Indefinite Xing issues,6,1
Rail surface defect,Rail Surface Defect,6,2
Structures / bridge,27-Oct-22 Structural Integrity TBD by Civil,6,1
Track condition,19th Rail Defect July,6,2
Track condition,Sleeper Condition on 27th July,6,2
Turnout / points,19-Oct-23 Points Fault,6,3
Turnout / points,3-Sep-24 Turnout 19/03/2025,6,2
Turnout / points,3-Sep-24 Turnout 26/10/2024,6,1
