tsr_master_id,line_key,line_name,location_direction,affected_area,latest_reason_raw,reason_group,first_seen_notice_date,last_seen_notice_date,weeks_seen,is_active,resolved_date,duration_bucket
454,RTMUP,Mandurah Line,Up,issues Rockingham 43.060km to 42.650km Up Main,Rail Defects,Track condition,2020-08-08,2020-08-08,1,0,2020-08-08,1 week
455,RTMDN,Mandurah Line,Down,19.550km to 21.210km Down Cockburn 19.550km to 21.210km Down Cockburn,multiple rail,Track condition,2020-08-08,2020-08-08,1,0,2020-08-08,1 week
456,UNCLASSIFIED,Unclassified,Unknown,Gauge Corner 11 September South Perth 2.690km to 2.866km,Cracking 2020,Other / review required,2020-08-08,2020-08-08,1,0,2020-08-08,1 week
458,RTMDN,Mandurah Line,Down,36.070km to 36.405km Down Wellard 36.070km to 36.405km Down Wellard,GCC 31 July 2020 Main,Other / review required,2020-08-08,2020-08-08,1,0,2020-08-08,1 week
517,UNCLASSIFIED,Unclassified,Unknown,11 September South Perth 2.690km to 2.866km,Gauge Corner Cracking 2020,Other / review required,2020-09-12,2020-09-12,1,0,2020-09-12,1 week
591,UNCLASSIFIED,Unclassified,Unknown,Section,ptember 2011,Other / review required,2020-11-21,2020-11-21,1,0,2020-11-21,1 week
592,UNCLASSIFIED,Unclassified,Up,Mundijong to 40.747km Up,January 2020 Signa lling Iss ues,Other / review required,2020-11-21,2020-11-21,1,0,2020-11-21,1 week
593,MTM,Midland Line,Unknown,Bassendean 8 .150km Do wn,March 2020 Turno ut defe cts &,Other / review required,2020-11-21,2020-11-21,1,0,2020-11-21,1 week
596,ATM,Armadale Line,Unknown,Beckenham M ain Armad ale,Poi nts Def ect 2020,Other / review required,2020-11-21,2020-11-21,1,0,2020-11-21,1 week
597,FTM,Fremantle Line,Unknown,orth Fremantle 18 .920km D own,Turn out def ects,Other / review required,2020-11-21,2020-11-21,1,0,2020-11-21,1 week
598,UNCLASSIFIED,Unclassified,Unknown,Mount Lawley,Exce ssive N oise,Other / review required,2020-11-21,2020-11-21,1,0,2020-11-21,1 week
599,JTM,Joondalup Line,Unknown,Whitfords 20 .150km D own,August 2020 turnout design issues,Turnout / points,2020-11-21,2020-11-21,1,0,2020-11-21,1 week
600,JTM,Joondalup Line,Unknown,Whitfords,August 2020,Other / review required,2020-11-21,2020-11-21,1,0,2020-11-21,1 week
601,FTM,Fremantle Line,Unknown,Fremantle - September Pedestrian Crossing Section,Indefinite Robbs Jetty 2011 Review,Other / review required,2020-11-28,2020-11-28,1,0,2020-11-28,1 week
602,UNCLASSIFIED,Unclassified,Up,Mundijong to 40.874km to 40.747km Up 13 January,Signalling Issues,Signals / train control,2020-11-28,2020-11-28,1,0,2020-11-28,1 week
854,UNCLASSIFIED,Unclassified,Up,Up Main design issues Claisebrook 0.850km to 0.950km,Track Geometry,Track geometry,2021-05-08,2021-05-08,1,0,2021-05-08,1 week
855,FTMUP,Fremantle Line,Up,Fremantle Up Main Claisebrook 0.875km to 1.650km,Track Geometry,Track geometry,2021-05-08,2021-05-08,1,0,2021-05-08,1 week
856,FTMDN,Fremantle Line,Down,Armadale Down Main Karrakatta 9.580km Fremantle Up,Track Project,Track condition,2021-05-08,2021-05-08,1,0,2021-05-08,1 week
859,FTMDN,Fremantle Line,Down,Fremantle Down Main Works Denny Ave 24.560km to 25.140km,Track Project,Track condition,2021-05-08,2021-05-08,1,0,2021-05-08,1 week
860,ATMUP,Armadale Line,Up,Armadale Up Main Works Denny Ave 24.560km to 25.540km,Track Project,Track condition,2021-05-08,2021-05-08,1,0,2021-05-08,1 week
1006,MTMDN,Midland Line,Down,Down Main design issues Bassendean 8.200km to 8.100km,Turnout design issues,Turnout / points,2021-07-24,2021-07-24,1,0,2021-07-24,1 week
1021,ATM,Armadale Line,Unknown,Main Armadale 29.597km to 41.430km,Rail Internal Defects,Rail internal defect,2021-07-24,2021-07-24,1,0,2021-07-24,1 week
1079,ATMBI,Armadale Line,Bidirectional,Rd Armadale Bi-di Line Works Cockburn 21.270km to 21.170km,Rail Internal,Rail internal defect,2021-08-14,2021-08-14,1,0,2021-08-14,1 week
1081,RTMBI,Mandurah Line,Bidirectional,Thornlie Bi-directional Defect Cockburn 21.142km to 21.242km,Rail Internal,Rail internal defect,2021-08-14,2021-08-14,1,0,2021-08-14,1 week
1082,RTMUP,Mandurah Line,Up,Mandurah Up Main Defect Welshpool 8.400km to 8.200km,Rail Internal,Rail internal defect,2021-08-14,2021-08-14,1,0,2021-08-14,1 week
1084,MTMUP,Midland Line,Up,Armadale Line Up Main Geometry Defects Guildford 10.250km to 10.350km,Geometry Defects,Track geometry,2021-08-14,2021-08-14,1,0,2021-08-14,1 week
1103,MTMDN,Midland Line,Down,Midland Line Down Main Armadale 29.350km to 29.710km,Contaminated Railhead,Track condition,2021-08-21,2021-08-21,1,0,2021-08-21,1 week
1106,RTMDN,Mandurah Line,Down,Mandurah Down Main Rockingham 43.410km to 43.910km,Rail Internal Defect,Rail internal defect,2021-08-21,2021-08-21,1,0,2021-08-21,1 week
1155,FTMUP,Fremantle Line,Up,Fremantle Up Main Karrakatta 9.580km Fremantle Up,Due to Loch St Ped Indefinite Main Xing issues,Other / review required,2021-09-11,2021-09-11,1,0,2021-09-11,1 week
1160,MTMDN,Midland Line,Down,Midland Down Main Rockingham 43.067km to 42.065km,Turnout Defects,Turnout / points,2021-09-11,2021-09-11,1,0,2021-09-11,1 week
1229,JTMUP,Joondalup Line,Up,Whitfords 20.150km to 19.150km Up Main,Turnout defects &,Turnout / points,2021-10-09,2021-10-09,1,0,2021-10-09,1 week
1231,UNCLASSIFIED,Unclassified,Down,Lawley Mount 0.800 to 1.300km Down Main,Noise Mitigation,Noise mitigation,2021-10-09,2021-10-09,1,0,2021-10-09,1 week
1232,FTM,Fremantle Line,Unknown,Lawley Claisebrook 0.160km to 0.950km Fremantle,Track Geometry,Track geometry,2021-10-09,2021-10-09,1,0,2021-10-09,1 week
1272,UNCLASSIFIED,Unclassified,Down,Down Main issues Karrakatta FTMUP 9.580km 7,Due to Loch St Indefinite Up Main Ped Xing issues,Other / review required,2021-11-06,2021-11-06,1,0,2021-11-06,1 week
1279,ATMBI,Armadale Line,Bidirectional,Rd Bi-Directional Works Armadale ATMUP 29.350km to 29.411km,Contaminated,Other / review required,2021-11-06,2021-11-06,1,0,2021-11-06,1 week
1280,ATM,Armadale Line,Unknown,Railhead Armadale - ATMBI 29.411km to 29.710km,Contaminated,Other / review required,2021-11-06,2021-11-06,1,0,2021-11-06,1 week
1282,MTMBI,Midland Line,Bidirectional,Mundijong Bi-Directional Guildford MTMDN 10.250km to 10.350km,Geometry,Track geometry,2021-11-06,2021-11-06,1,0,2021-11-06,1 week
1557,FTM,Fremantle Line,Unknown,Speed Fremantle - FTMBI 21.012km to 26.000km B-,Sept 2011 Pedestrian Crossing Indefinite Robbs Jetty Directional Review,Level crossing / pedestrian crossing,2022-04-09,2022-04-09,1,0,2022-04-09,1 week
2302,FTM,Fremantle Line,Unknown,FTMUP 0.1600km to 0.6700km,27-Oct-22 Structural Integrity TBC Public Transport Authority  WEEKLY NOTICE No. 10 4,Structures / bridge,2023-03-11,2023-03-11,1,0,2023-03-11,1 week
2930,CP,City / Central Area,Unknown,CPUM 1.5000km TO 1.7000km,13-Oct-23 Track Geometry,Track geometry,2023-10-15,2023-10-15,1,0,2023-10-15,1 week
2991,FTM,Fremantle Line,Unknown,FTMUP 1.4500km to 1.9300km,19-Oct-23 Points Fault End of November,Turnout / points,2023-11-05,2023-11-05,1,0,2023-11-05,1 week
3005,MTM,Midland Line,Unknown,MTMDN 9.5600km - 9.6800km,3-Oct-23 Track Geometry,Track geometry,2023-11-12,2023-11-12,1,0,2023-11-12,1 week
3008,JTM,Joondalup Line,Unknown,JTMDN 19.1500km - 20.1500km 2 1 - 0 6 - 0 2 4,03-June-21 Turnout,Turnout / points,2023-11-12,2023-11-12,1,0,2023-11-12,1 week
3014,ATM,Armadale Line,Unknown,ATMUP 9.8800km - 10.1900km,17-Oct-23 Ballast / Formation TBC Public Transport Authority  WEEKLY NOTICE No. 45 4,Ballast / formation,2023-11-12,2023-11-12,1,0,2023-11-12,1 week
3036,ATM,Armadale Line,Unknown,ATMUP 9.8800km - 10.1900km,17-Oct-23 Ballast / Formation TBC Public Transport Authority  WEEKLY NOTICE No. 46 4,Ballast / formation,2023-11-19,2023-11-19,1,0,2023-11-19,1 week
3058,ATM,Armadale Line,Unknown,ATMUP 9.8800km - 10.1900km,17-Oct-23 Ballast / Formation TBC Public Transport Authority  WEEKLY NOTICE No. 47 4,Ballast / formation,2023-11-26,2023-11-26,1,0,2023-11-26,1 week
3080,ATM,Armadale Line,Unknown,ATMUP 19.2940km - 19.5070km,22-Apr-22 Miscellaneous Indefinite Public Transport Authority  WEEKLY NOTICE No. 48 4,Other / review required,2023-12-03,2023-12-03,1,0,2023-12-03,1 week
3102,ATM,Armadale Line,Unknown,ATMUP 19.2940km - 19.5070km,22-Apr-22 Miscellaneous Indefinite Public Transport Authority  WEEKLY NOTICE No. 49 4,Other / review required,2023-12-10,2023-12-10,1,0,2023-12-10,1 week
3124,ATM,Armadale Line,Unknown,ATMUP 19.2940km - 19.5070km,22-Apr-22 Miscellaneous Indefinite Public Transport Authority  WEEKLY NOTICE No. 50 4,Other / review required,2023-12-17,2023-12-17,1,0,2023-12-17,1 week
3146,ATM,Armadale Line,Unknown,ATMUP 19.2940km - 19.5070km,22-Apr-22 Miscellaneous Indefinite Public Transport Authority  WEEKLY NOTICE No. 51 4,Other / review required,2023-12-24,2023-12-24,1,0,2023-12-24,1 week
