tsr_master_id,first_seen_notice_date,last_seen_notice_date,weeks_seen,is_active,resolved_date,line_key,line_name,location_direction,affected_area,latest_location,latest_line_section,latest_distance_km,location_from_km,location_to_km,latest_stn_no,latest_max_speed,date_imposed_raw,date_imposed_normalised,latest_reason_raw,latest_reason_group,latest_date_cancelled_raw,latest_date_cancelled,master_fingerprint,row_quality,normalisation_notes
1119,2021-08-28,2021-09-04,2,0,2021-09-04,ATMBI,Armadale Line,Bidirectional,Rd Armadale Bi-di Line Thornlie 2.350km to 2.500km,Rd Armadale Bi-di Line Thornlie,Rd Armadale Bi-di Line Thornlie,2.350km to 2.500km,2.35,2.5,,20km/h,02 Jul 21,2021-07-02,Rail Surface Defect,Rail surface defect,05 Sep 21,2021-09-05,324a13b08e50496f7cb5ca32863cb8d83d2c366ddc74287ad71060591128776b,repaired,strategy=text_line
1121,2021-08-28,2021-09-04,2,0,2021-09-04,RTMDN,Mandurah Line,Down,Mandurah Down Main Welshpool 8.400km to 8.200km,Mandurah Down Main Welshpool,Mandurah Down Main Welshpool,8.400km to 8.200km,8.2,8.4,,30km/h,14 Jul 21,2021-07-14,Rail Internal Defect,Rail internal defect,30 Aug 21,2021-08-30,2557ebae9356a09d5a339917619b238d4823f57fd8f32f16c20b8b520ab16ca1,repaired,strategy=text_line
1123,2021-08-28,2021-09-04,2,0,2021-09-04,ATMUP,Armadale Line,Up,Armadale Line Up Main Geometry Defects Armadale 29.350km to 29.710km,Armadale Line Up Main Geometry Defects Armadale,Armadale Line Up Main Geometry Defects Armadale,29.350km to 29.710km,29.35,29.71,,10km/h,14 Jul 21,2021-07-14,Contaminated,Other / review required,TBC,2021-09-04,53e82930c135b7bf2b91a95e73ba21d2e6476a5e9713dc43b11707d01307498b,repaired,strategy=text_line
1125,2021-08-28,2021-09-04,2,0,2021-09-04,MTMDN,Midland Line,Down,Midland Down Main Bayswater 5.114km to 5.214km,Midland Down Main Bayswater,Midland Down Main Bayswater,5.114km to 5.214km,5.114,5.214,,40km/h,20 Aug 21,2021-08-20,FAL Project Points,Turnout / points,TBC,2021-09-04,ed3d43c198c45fbb312afc1b162775f58c4d342543fb0878964a826a03f0b2f8,repaired,strategy=text_line
1155,2021-09-11,2021-09-11,1,0,2021-09-11,FTMUP,Fremantle Line,Up,Fremantle Up Main Karrakatta 9.580km Fremantle Up,Fremantle Up Main Karrakatta,Fremantle Up Main Karrakatta,9.580km Fremantle Up,9.58,9.58,,75km/h,15 Feb 21,2021-02-15,Due to Loch St Ped Indefinite Main Xing issues,Other / review required,,2021-09-11,c92e7b1a87b9108e69461bb91777fa81065b7c71689520aa34e7421a9e48ed8d,repaired,strategy=text_line
1157,2021-09-11,2021-10-30,7,0,2021-10-30,ATMBI,Armadale Line,Bidirectional,Rd Armadale Bi-di Line Works Cockburn 21.142km to 21.242km,Rd Armadale Bi-di Line Works Cockburn,Rd Armadale Bi-di Line Works Cockburn,21.142km to 21.242km,21.142,21.242,,80km/h,14 Jul 21,2021-07-14,Rail Internal Defect,Rail internal defect,30 Sep 21,2021-09-30,3266d8cf4d00a2693ade6669565e3539b03f31a0fcb658fedef120f31155940c,repaired,strategy=text_line
1158,2021-09-11,2021-10-30,7,0,2021-10-30,ATMDN,Armadale Line,Down,Mandurah Down Main Armadale 29.350km to 29.710km,Mandurah Down Main Armadale,Mandurah Down Main Armadale,29.350km to 29.710km,29.35,29.71,,10km/h,14 Jul 21,2021-07-14,Contaminated TBC Mundijong Armadale Bi-Directional Railhead,Track condition,,2021-10-30,5c7040f58559b5bc1722b2f0089d87bd38fa40025e3c3e48a8e192a9ea10851a,repaired,strategy=text_line
1160,2021-09-11,2021-09-11,1,0,2021-09-11,MTMDN,Midland Line,Down,Midland Down Main Rockingham 43.067km to 42.065km,Midland Down Main Rockingham,Midland Down Main Rockingham,43.067km to 42.065km,42.065,43.067,,50km/h,23 Aug 21,2021-08-23,Turnout Defects,Turnout / points,TBC,2021-09-11,5e20d9bc72ed4a59dcd3534a3ccf9ab1ffb6136ad52ba75acf2a97866fd687e8,repaired,strategy=text_line
1161,2021-09-11,2022-02-19,11,0,2022-02-19,JTM,Joondalup Line,Unknown,Rd Directional Works Warwick JTMDN 13.350km to 13.460km,Rd Directional Works Warwick JTMDN,Rd Directional Works Warwick JTMDN,13.350km to 13.460km,13.35,13.46,,70km/h,27 Aug 21,2021-08-27,Track Geometry,Track geometry,Indefinite,2022-02-19,e2af346e5ddbb7d7f27cc33275ff7bbfcf25e391df699b75b341c87d4b0d9c79,repaired,strategy=text_line; direction_not_inferred
1165,2021-09-18,2021-10-30,6,0,2021-10-30,MTMUP,Midland Line,Up,design issues Bassendean 8.200km to 8.100km Up Main,design issues Bassendean,design issues Bassendean,8.200km to 8.100km Up Main,8.1,8.2,,80km/h,05 April 20,2020-04-05,Turnout design,Turnout / points,Indefinite,2021-10-30,2e0c1db9c2885ff352cfd61daadcd3a0e8ae069e32402176d46dc432c5b64aeb,repaired,strategy=text_line
1171,2021-09-18,2021-10-30,5,0,2021-10-30,FTM,Fremantle Line,Unknown,design issues Claisebrook 0.850km to 0.950km Fremantle,design issues Claisebrook,design issues Claisebrook,0.850km to 0.950km Fremantle,0.85,0.95,,30km/h,31 Dec 20,2020-12-31,Track Geometry,Track geometry,13 Sep 21,2021-09-13,e07232e898016205a6da99b3af3e1e101a9dfef907410cc5d00fbd72e2814862,repaired,strategy=text_line; direction_not_inferred
1172,2021-09-18,2021-10-30,6,0,2021-10-30,FTMUP,Fremantle Line,Up,Up Main Karrakatta 9.580km Fremantle Up Main,Up Main Karrakatta,Up Main Karrakatta,9.580km Fremantle Up Main,9.58,9.58,,75km/h,15 Feb 21,2021-02-15,Due to Loch St Ped Indefinite Xing issues,Other / review required,,2021-10-30,426a271a28e76260e95814d06d49abd527239adbd11e34ad3f75ca8217d3aed5,repaired,strategy=text_line
1177,2021-09-18,2021-11-27,10,0,2021-11-27,RTMDN,Mandurah Line,Down,Down Main Rockingham RTMUP 43.067km to 42.065km,Down Main Rockingham RTMUP,Down Main Rockingham RTMUP,43.067km to 42.065km,42.065,43.067,,50km/h,23 Aug 21,2021-08-23,Turnout Defects,Turnout / points,17 Dec 21,2021-12-17,a3e3dd24d603cbce7a8ea4a20f2b0904c78d35573a32041f6c489e91c81c143f,repaired,strategy=text_line
1229,2021-10-09,2021-10-09,1,0,2021-10-09,JTMUP,Joondalup Line,Up,Whitfords 20.150km to 19.150km Up Main,Whitfords,Whitfords,20.150km to 19.150km Up Main,19.15,20.15,,80km/h,17 Sept 21,2021-09-17,Turnout defects &,Turnout / points,Indefinite,2021-10-09,508dcbcf9c6eebcc861a5e3c8dc4ec7993d68abb6081af9bfabb99984b69380d,repaired,strategy=text_line
1230,2021-10-09,2022-10-01,29,0,2022-10-01,UNCLASSIFIED,Unclassified,Down,Lawley Down Main Mount MTMUP 0.717km to 1.625km,Lawley Down Main Mount MTMUP,Lawley Down Main Mount MTMUP,0.717km to 1.625km,0.717,1.625,,60km/h,28 Sept 21,2021-09-28,Noise Mitigation,Noise mitigation,Indefinite,2022-10-01,a7ba56b5e9a591f736b5571c77bde6f708ec36a4f7bdc8747faaa8f014ed738a,repaired,strategy=text_line; line_not_inferred
1231,2021-10-09,2021-10-09,1,0,2021-10-09,UNCLASSIFIED,Unclassified,Down,Lawley Mount 0.800 to 1.300km Down Main,Lawley Mount,Lawley Mount,0.800 to 1.300km Down Main,0.8,1.3,,60km/h,28 Sept 21,2021-09-28,Noise Mitigation,Noise mitigation,Indefinite,2021-10-09,5d141ccee5c6d352f06fbba72b9b5ee6c4866afe2501145f619dbb4acde2657a,repaired,strategy=text_line; line_not_inferred
1232,2021-10-09,2021-10-09,1,0,2021-10-09,FTM,Fremantle Line,Unknown,Lawley Claisebrook 0.160km to 0.950km Fremantle,Lawley Claisebrook,Lawley Claisebrook,0.160km to 0.950km Fremantle,0.16,0.95,,30km/h,28 Sept 10,2010-09-28,Track Geometry,Track geometry,TBC,2021-10-09,8d97d8d15c8da80f104e7b1b056640144150d2b189cd72b590db090d89170abb,repaired,strategy=text_line; direction_not_inferred
1267,2021-11-06,2022-10-01,15,0,2022-10-01,FTM,Fremantle Line,Unknown,Railway Speed Imposed Restriction Cancelled Fremantle - FTMBI 21.012km to 26.000km,Railway Speed Imposed Restriction Cancelled Fremantle - FTMBI,Railway Speed Imposed Restriction Cancelled Fremantle - FTMBI,21.012km to 26.000km,21.012,21.012,,20km/h,,,Sept 2011 Pedestrian Indefinite Robbs Jetty B-Directional Crossing Review,Level crossing / pedestrian crossing,,2022-10-01,f539558a63049de32452bb9401d4fa8e8d89431c046704dada9bca4e88e6c9e8,repaired,strategy=text_line; direction_not_inferred
1268,2021-11-06,2022-10-01,20,0,2022-10-01,FTMBI,Fremantle Line,Bidirectional,Robbs Jetty B-Directional Crossing Review Bassendean MTMDN 7.900km to 8.150km,Robbs Jetty B-Directional Crossing Review Bassendean MTMDN,Robbs Jetty B-Directional Crossing Review Bassendean MTMDN,7.900km to 8.150km,7.9,8.15,,80km/h,27 Mar 20,2020-03-27,Turnout defects &,Turnout / points,Indefinite,2022-10-01,09f8d3a9f20967631d0c5c90e4ce5b27d5f98cfe84f0cfeeb6e636b7eb2c9e7c,repaired,strategy=text_line
1272,2021-11-06,2021-11-06,1,0,2021-11-06,UNCLASSIFIED,Unclassified,Down,Down Main issues Karrakatta FTMUP 9.580km 7,Down Main issues Karrakatta FTMUP,Down Main issues Karrakatta FTMUP,9.580km 7,9.58,9.58,,5km/h,15 Feb 21,2021-02-15,Due to Loch St Indefinite Up Main Ped Xing issues,Other / review required,,2021-11-06,ebe2705e04ada97a16ddfd241945e9cb59bda61fc87459a48a0928f3aa407b8e,repaired,strategy=text_line; line_not_inferred
