source_pdf_id,notice_date,filename,url,status,tsr_table_count,tsr_row_count,rejected_row_count,artifact_row_count,extraction_strategy,last_error
14,2018-12-01,Weekly Notice No 47 - Week Ending 1 Dec 2018__3380751555.pdf,https://www.pta.wa.gov.au/Portals/15/AA_DOCUMENTS/About_us/Working with PTA/Safety resources/Weekly Notices/Previous Years/2018/Weekly Notice No 47 - Week Ending 1 Dec 2018.pdf?ver=bGZMQgPPv-v819bJakIMGw%3d%3d,processed,2,1,0,0,table_lines:2,
15,2018-12-08,Weekly Notice No 48 - Week Ending 8th Dec 2018__66fa1b0079.pdf,https://www.pta.wa.gov.au/Portals/15/AA_DOCUMENTS/About_us/Working with PTA/Safety resources/Weekly Notices/Previous Years/2018/Weekly Notice No 48 - Week Ending 8th Dec 2018.pdf?ver=eGcXrxJe6EeAvessjAFv7w%3d%3d,processed,1,1,0,0,table_lines:1,
16,2018-12-14,Weekly Notice No 50 Week EndingFri 14 Dec 2018__ab6d8f9150.pdf,https://www.pta.wa.gov.au/Portals/15/AA_DOCUMENTS/About_us/Working with PTA/Safety resources/Weekly Notices/Previous Years/2018/Weekly Notice No 50 Week EndingFri 14 Dec 2018.pdf?ver=CpFMa1T4OIkO6OT3AYmOxA%3d%3d,processed,1,1,0,0,table_lines:1,
17,2018-12-14,Weekly Notice No 51Week EndingFri 14 Dec 2018__a5441a2e53.pdf,https://www.pta.wa.gov.au/Portals/15/AA_DOCUMENTS/About_us/Working with PTA/Safety resources/Weekly Notices/Previous Years/2018/Weekly Notice No 51Week EndingFri 14 Dec 2018.pdf?ver=ku4zBytmeML953fj58pfEw%3d%3d,processed,1,1,0,0,table_lines:1,
18,2018-12-15,Weekly Notice No 49 - Week Ending 15 Dec 2018__89a42c7040.pdf,https://www.pta.wa.gov.au/Portals/15/AA_DOCUMENTS/About_us/Working with PTA/Safety resources/Weekly Notices/Previous Years/2018/Weekly Notice No 49 - Week Ending 15 Dec 2018.pdf?ver=aHPbTRjqYhkSLIQ_ia37IA%3d%3d,processed,1,1,0,0,table_lines:1,
19,2019-01-04,Weekly Notice No 52 Week EndingFri 04 Jan 2019__7c95032ba2.pdf,https://www.pta.wa.gov.au/Portals/15/AA_DOCUMENTS/About_us/Working with PTA/Safety resources/Weekly Notices/Previous Years/2019/Weekly Notice No 52 Week EndingFri 04 Jan 2019.pdf?ver=z4e1J9flu3kJ0pc8LiZTVw%3d%3d,processed,1,1,0,0,table_lines:1,
20,2019-01-11,Weekly Notice No. 01 Week EndingFri 11 Jan 2019__7cae35af6c.pdf,https://www.pta.wa.gov.au/Portals/15/AA_DOCUMENTS/About_us/Working with PTA/Safety resources/Weekly Notices/Previous Years/2019/Weekly Notice No. 01 Week EndingFri 11 Jan 2019.pdf?ver=xxOWaOKzRGK1znlb_Mm_tA%3d%3d,processed,1,1,0,0,table_lines:1,
21,2019-01-18,Weekly Notice No. 02 Week Ending- 18th January 2019__52bdadb0b9.pdf,https://www.pta.wa.gov.au/Portals/15/AA_DOCUMENTS/About_us/Working with PTA/Safety resources/Weekly Notices/Previous Years/2019/Weekly Notice No. 02 Week Ending- 18th January 2019.pdf?ver=JyGfbt3VT8Fx2_dNzba6Vg%3d%3d,processed,1,2,0,0,table_lines:1,
22,2019-01-25,Weekly Notice No. 03 Week Ending- 25th January 2019__7f199d28f7.pdf,https://www.pta.wa.gov.au/Portals/15/AA_DOCUMENTS/About_us/Working with PTA/Safety resources/Weekly Notices/Previous Years/2019/Weekly Notice No. 03 Week Ending- 25th January 2019.pdf?ver=-lH_2O-XGZO14Gr-fAgt6Q%3d%3d,processed,1,2,0,0,table_lines:1,
23,2019-02-01,Weekly Notice No. 04 Week Ending- 01st Febuary 2019__25cccbf2ff.pdf,https://www.pta.wa.gov.au/Portals/15/AA_DOCUMENTS/About_us/Working with PTA/Safety resources/Weekly Notices/Previous Years/2019/Weekly Notice No. 04 Week Ending- 01st Febuary 2019.pdf?ver=3kwgQsjjvB9rCJfUwcL6Jg%3d%3d,missing,0,0,0,0,,Unable to download PDF. Last error: 404 Not Found: https://www.pta.wa.gov.au/Portals/15/AA_DOCUMENTS/About_us/Working%20with%20PTA/Safety%20resources/Weekly%20Notices/Previous%20Years/2019/Weekly%20Notice%20No.%2004%20Week%20Ending%20-%2001st%20Febuary%202019.pdf
